"ID;""En matière d'Internet"," vous vous considérez comme un utilisateur…"";""Quel(s) type(s) de sites visitez-vous couramment ?"";""Considérez-vous que cette adresse soit votre adresse email principale ?"";""A quelle fréquence consultez-vous votre boîte email ?"";""D’une manière générale", combien d’emails publicitaires, newsletters, alerting, ou autres," recevez-vous à cette adresse ?"";""Quelle image avez-vous de projet-one ?"";""A quelle fréquence profitez-vous des offres via le site project-one ?"";""Vous diriez que vous ouvrez les communications email de projet-one :"";""Comment jugez-vous l’impact des communications email sur l’image que vous avez de Projet-one ?"";""Les communications email de Projet-one vous incitent-elles à aller sur le site :"";""Quelles sont les raisons principales qui vous ont incité à recevoir les communications email de Projet-one ?"";""De manière générale"," quel est votre niveau de satisfaction concernant les communications email de Projet-one ?"";""Que pensez-vous de la longueur des communications email de Porjet-one ?"";""Par rapport à aujourd’hui"," vous souhaiteriez recevoir des communications email de Projet-one…"";""Avez-vous rencontré récemment un ou plusieurs des obstacles suivants vis-à-vis des communications email de Projet-one ?"";""Pensez-vous continuer à consulter les communications email de Projet-one à l’avenir ?"";""Vous êtes ?"";""Vous vivez…"";""Vous habitez…"";""Quel âge avez-vous ?"";""Quelle est votre profession ?""",,
2837;Initié(e);Site marchand (e-commerce)|Presse, Actualité;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Environ une fois par semaine;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Avoir accès aux conseils d’un expert;10;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Homme;Province;En couple sans enfant;55-64;Retraité,,,,,,,
2839;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale|Sport;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;10;De la bonne longueur;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;45-54;Profession libérale,,,,,
2843;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Régulièrement;Très important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;8;De la bonne longueur;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);55-64;Retraité,,,,,
2844;Débutant(e);Je ne visite aucun site en particulier;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Jamais;Régulièrement;Assez important;C’est votre façon principale d’y aller;Bénéficier d'offres promotionnelles|Simplement par curiosité|Recevoir des adresses près de chez moi, des idées de sorties;5;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;55-64;Retraité,,,,,,,
2845;Confirmé(e);Presse, Actualité;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Peu important;Moins souvent;Bénéficier d'offres promotionnelles;8;De la bonne longueur;Un peu moins fréquemment;Le manque de temps;Oui, sûrement;Femme;Province;En couple avec enfant(s);45-54;Employé,,,,,,,
2849;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Santé, médicale;Non, c’est une adresse secondaire;Une fois par semaine;Plusieurs par jour;Assez bonne;Au moins une fois par mois;De temps en temps;Assez important;Aussi souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;De la bonne longueur;Un peu moins fréquemment;Le manque de temps;Oui, sans doute;Femme;Province;En couple sans enfant;45-54;Profession Intermédiaire, contremaître, agent de maîtrise,,,
2852;Confirmé(e);Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Assez important;C’est votre façon principale d’y aller;Suivre  l'actualité d'un forum, d'un blog,…|Avoir accès aux conseils d’un expert;6;Un peu trop longue;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);18-24;Sans activité professionnelle,,,,
2853;Confirmé(e);Jeux, Loisirs|Réseaux sociaux|Sport;Non, c’est une adresse secondaire;Une fois par jour;Plusieurs par jour;Je ne connais pas;Jamais;Jamais;Pas important du tout;Moins souvent;Suivre  l'actualité d'un forum, d'un blog,…;1;Beaucoup trop longue;Beaucoup moins fréquemment;Autres;Non, certainement pas;Femme;Paris ou région parisienne;En couple sans enfant;18-24;Sans activité professionnelle,,,,,
2854;Initié(e);Documents de référence (dictionnaire, archive…)|Informatique|Presse, Actualité;Oui, c’est ma seule adresse email;Plusieurs fois par semaine;Plusieurs par jour;Très bonne;Environ tous les deux ou trois mois;Systématiquement;Assez important;Moins souvent;Recevoir des actualités|Simplement par curiosité;8;Un peu trop longue;A la même fréquence;La mise en forme ne s’affiche pas correctement;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Artisan, commerçant, chef d'entreprise,,,,
2856;Initié(e);Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Jamais;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,,
2862;Initié(e);Presse, Actualité|Santé, médicale|Sciences;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Peu important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Avoir accès aux conseils d’un expert;6;De la bonne longueur;A la même fréquence;Certains liens ne fonctionnent pas|Les images sont bloquées;Oui, sûrement;Femme;Province;En couple sans enfant;55-64;Retraité,,,,,,
2863;Initié(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Simplement par curiosité|Recevoir des adresses près de chez moi, des idées de sorties;6;Un peu trop longue;Un peu moins fréquemment;Certains liens ne fonctionnent pas|Autres;Oui, sans doute;Femme;Province;Seul(e) sans enfant;45-54;Employé,,,,
2864;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Santé, médicale|Sport;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Peu important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;3;De la bonne longueur;Un peu moins fréquemment;Certains liens ne fonctionnent pas|Les images sont bloquées;Oui, sans doute;Femme;Province;Seul(e) sans enfant;55-64;Employé,,,,,
2866;Confirmé(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Régulièrement;Assez important;C’est votre façon principale d’y aller;Suivre  l'actualité d'un forum, d'un blog,…|Simplement par curiosité|Avoir accès aux conseils d’un expert;7;De la bonne longueur;A la même fréquence;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);25-34;Sans activité professionnelle,,,,,
2868;Confirmé(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Régulièrement;Assez important;Aussi souvent;Suivre  l'actualité d'un forum, d'un blog,…;7;De la bonne longueur;Un peu moins fréquemment;Certains liens ne fonctionnent pas|Les images sont bloquées;Oui, sûrement;Femme;Province;En couple sans enfant;18-24;Employé,,,,
2869;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Environ tous les deux ou trois mois;De temps en temps;Peu important;Aussi souvent;Bénéficier d'offres promotionnelles|Simplement par curiosité;6;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;55-64;Sans activité professionnelle,,,,
2870;Initié(e);Informatique|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Environ 1 par jour;Très bonne;Au moins une fois par mois;De temps en temps;Ne sait pas;Plus souvent;Bénéficier d'offres promotionnelles|Suivre  l'actualité d'un forum, d'un blog,…|Recevoir des adresses près de chez moi, des idées de sorties;6;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;>65;Retraité,,,
2874;Expert(e);Jeux, Loisirs|Presse, Actualité;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Très bonne;Jamais;Systématiquement;Assez important;C’est votre façon principale d’y aller;Suivre  l'actualité d'un forum, d'un blog,…;8;De la bonne longueur;Un peu moins fréquemment;Les images sont bloquées;Non, sans doute pas;Femme;Paris ou région parisienne;En couple sans enfant;25-34;Employé,,,,
2875;Initié(e);Jeux, Loisirs|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Plus d’une fois par semaine;Systématiquement;Très important;Moins souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Suivre  l'actualité d'un forum, d'un blog,…;2;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Paris ou région parisienne;En couple avec enfant(s);25-34;Sans activité professionnelle,,,,
2878;Initié(e);Je ne visite aucun site en particulier;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Simplement par curiosité;7;De la bonne longueur;A la même fréquence;Certains liens ne fonctionnent pas;Oui, sûrement;Femme;Province;En couple avec enfant(s);45-54;Retraité,,,,,,,,
2879;Confirmé(e);Je ne visite aucun site en particulier;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;De temps en temps;Peu important;Aussi souvent;Suivre  l'actualité d'un forum, d'un blog,…;5;De la bonne longueur;Un peu moins fréquemment;Le manque de temps|Les images sont bloquées|L’email est classé automatiquement comme spam.;Oui, sans doute;Femme;Province;En couple avec enfant(s);45-54;Sans activité professionnelle,,,,,,
2880;Initié(e);Presse, Actualité;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Jamais;Peu important;Aussi souvent;Simplement par curiosité;4;De la bonne longueur;A la même fréquence;Le manque de temps;Non, sans doute pas;Femme;Province;Seul(e) sans enfant;18-24;Employé,,,,,,,
2881;Confirmé(e);Je ne visite aucun site en particulier;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Environ 1 par jour;Assez bonne;Moins souvent;Systématiquement;Peu important;Moins souvent;Bénéficier d'offres promotionnelles|Simplement par curiosité;5;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;Chez vos parents;18-24;Etudiant,,,,,,,,
2889;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Moins souvent;Systématiquement;Très important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Recevoir des adresses près de chez moi, des idées de sorties;8;De la bonne longueur;Un peu plus fréquemment;Les images sont bloquées;Oui, sûrement;Femme;Province;Seul(e) sans enfant;25-34;Etudiant,,,,,,
2890;Initié(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Systématiquement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Recevoir des adresses près de chez moi, des idées de sorties;9;Un peu trop longue;Un peu moins fréquemment;Le manque de temps|Certains liens ne fonctionnent pas;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,
2892;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Environ une fois par semaine;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;6;Un peu trop longue;Un peu plus fréquemment;Le manque de temps|Autres;Oui, sûrement;Femme;Province;En couple sans enfant;35-44;Sans activité professionnelle,,,,,
2893;Confirmé(e);Presse, Actualité;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez mauvaise;Jamais;Rarement;Peu important;Plus souvent;Recevoir des actualités|Etre informé sur les produits/marques;2;De la bonne longueur;Beaucoup moins fréquemment;Je n’ai pas rencontré de problème particulier;Non, sans doute pas;Femme;Province;En couple sans enfant;25-34;Cadre, cadre supérieur,,,,,,
2896;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Environ tous les deux ou trois mois;De temps en temps;Assez important;Plus souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;Un peu trop longue;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;25-34;Profession Intermédiaire, contremaître, agent de maîtrise,,
2897;Initié(e);Documents de référence (dictionnaire, archive…)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Systématiquement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Etre informé sur les produits/marques|Simplement par curiosité;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;25-34;Sans activité professionnelle,,,,
2898;Débutant(e);Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Jamais;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Avoir accès aux conseils d’un expert;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;55-64;Retraité,,,,,,
2899;Initié(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;De temps en temps;Peu important;C’est votre façon principale d’y aller;Simplement par curiosité;8;Un peu trop longue;Un peu plus fréquemment;Autres;Oui, sans doute;Femme;Province;Seul(e) sans enfant;25-34;Profession Intermédiaire, contremaître, agent de maîtrise,,,,
2908;Débutant(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par semaine mais moins de 1 par jours;Très bonne;Jamais;De temps en temps;Assez important;Aussi souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…|Avoir accès aux conseils d’un expert;7;De la bonne longueur;Un peu moins fréquemment;Certains liens ne fonctionnent pas;Oui, sûrement;Femme;Province;En couple sans enfant;45-54;Cadre, cadre supérieur,,,
2910;Confirmé(e);Documents de référence (dictionnaire, archive…)|Presse, Actualité|Santé, médicale|Sport;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;Jamais;Peu important;Moins souvent;Simplement par curiosité;5;Beaucoup trop longue;Beaucoup moins fréquemment;Les liens sont trop lents|Autres;Non, sans doute pas;Femme;Province;En couple avec enfant(s);45-54;Employé,,,,,
2911;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Jamais;Régulièrement;Très important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;25-34;Etudiant,,,,,
2912;Confirmé(e);Site marchand (e-commerce)|Presse, Actualité|Santé, médicale|Sport;Oui, c’est ma seule adresse email;Une fois par jour;Environ 1 par semaine;Très bonne;Moins souvent;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Avoir accès aux conseils d’un expert;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,,
2913;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Presse, Actualité|Santé, médicale|Sciences|Sport;Non, c’est une adresse secondaire;Une fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Peu important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles;5;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Homme;Paris ou région parisienne;En couple sans enfant;45-54;Profession Intermédiaire, contremaître, agent de maîtrise,,,
2915;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Assez bonne;Environ tous les deux ou trois mois;Régulièrement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles;8;De la bonne longueur;Un peu moins fréquemment;Le manque de temps|La mise en forme ne s’affiche pas correctement;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,
2916;Débutant(e);Documents de référence (dictionnaire, archive…)|Jeux, Loisirs|Santé, médicale|Sport;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Assez important;Plus souvent;Recevoir des actualités|Avoir accès aux conseils d’un expert;6;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple sans enfant;>65;Retraité,,,,,
2920;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Informatique|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Plus d’une fois par semaine;Régulièrement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Avoir accès aux conseils d’un expert;9;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Employé,,,,,
2921;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Environ une fois par semaine;Systématiquement;Très important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;9;De la bonne longueur;A la même fréquence;Le manque de temps|Certains liens ne fonctionnent pas;Oui, sûrement;Femme;Province;En couple avec enfant(s);25-34;Sans activité professionnelle,,,,,,
2922;Initié(e);Presse, Actualité;Oui, mais j’ai d’autres adresses email;Une fois par jour;Moins de 1 par semaine;Assez bonne;Jamais;Rarement;Pas important du tout;C’est votre façon principale d’y aller;Simplement par curiosité;1;De la bonne longueur;Beaucoup moins fréquemment;Le manque de temps;Oui, sûrement;Femme;Province;Seul(e) sans enfant;>65;Retraité,,,,,,,
2924;Débutant(e);Presse, Actualité;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;Systématiquement;Pas important du tout;Moins souvent;Bénéficier d'offres promotionnelles;4;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Homme;Province;En couple avec enfant(s);35-44;Employé,,,,,,,
2927;Confirmé(e);Presse, Actualité|Réseaux sociaux|Santé, médicale|Sport;Oui, c’est ma seule adresse email;Plusieurs fois par semaine;Plusieurs par jour;Assez bonne;Environ tous les deux ou trois mois;De temps en temps;Peu important;Aussi souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;7;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);18-24;Ouvrier,,,,,,
2930;Débutant(e);Je ne visite aucun site en particulier;Non, c’est une adresse secondaire;Une fois par jour;Plusieurs par jour;Assez bonne;Jamais;Jamais;Ne sait pas;Moins souvent;Bénéficier d'offres promotionnelles|Simplement par curiosité;5;De la bonne longueur;Beaucoup moins fréquemment;Certains liens ne fonctionnent pas|Les images sont bloquées;Non, sans doute pas;Femme;Province;En couple avec enfant(s);55-64;Employé,,,,,,,,
2932;Initié(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Jamais;Systématiquement;Peu important;C’est votre façon principale d’y aller;Recevoir des actualités|Avoir accès aux conseils d’un expert;8;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;Seul(e) sans enfant;18-24;Etudiant,,,,
2937;Confirmé(e);Site marchand (e-commerce)|Jeux, Loisirs|Presse, Actualité|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Très bonne;Au moins une fois par mois;Régulièrement;Assez important;C’est votre façon principale d’y aller;Recevoir des actualités|Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;9;De la bonne longueur;A la même fréquence;Le manque de temps;Oui, sûrement;Femme;Province;En couple sans enfant;25-34;Employé,,,,,,
2938;Initié(e);Documents de référence (dictionnaire, archive…)|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Une fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Régulièrement;Peu important;Plus souvent;Simplement par curiosité;6;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;Chez vos parents;18-24;Sans activité professionnelle,,,,,,,
2939;Initié(e);Site marchand (e-commerce)|Presse, Actualité;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Jamais;Régulièrement;Ne sait pas;Aussi souvent;Recevoir des actualités|Suivre  l'actualité d'un forum, d'un blog,…;5;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);35-44;Artisan, commerçant, chef d'entreprise,,,
2940;Débutant(e);Je ne visite aucun site en particulier;Oui, c’est ma seule adresse email;Une fois par semaine;Plusieurs par jour;Assez bonne;Jamais;De temps en temps;Peu important;C’est votre façon principale d’y aller;Recevoir des actualités|Etre informé sur les produits/marques;7;De la bonne longueur;A la même fréquence;Le manque de temps|Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);45-54;Ouvrier,,,,,,,,
2942;Débutant(e);Site marchand (e-commerce)|Réseaux sociaux|Sport;Oui, c’est ma seule adresse email;Plusieurs fois par semaine;Plusieurs par jour;Assez bonne;Moins souvent;Rarement;Pas important du tout;C’est votre façon principale d’y aller;Recevoir des actualités|Avoir accès aux conseils d’un expert;5;Un peu trop longue;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Non, sans doute pas;Femme;Province;En couple avec enfant(s);25-34;Artisan, commerçant, chef d'entreprise,,,,,,
2945;Débutant(e);Presse, Actualité|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par semaine;Environ 1 par jour;Très bonne;Moins souvent;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques;9;De la bonne longueur;Un peu plus fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;55-64;Employé,,,,,,
2947;Débutant(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;Systématiquement;Assez important;Aussi souvent;Recevoir des actualités|Simplement par curiosité;7;De la bonne longueur;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple avec enfant(s);35-44;Cadre, cadre supérieur,,,,,
2948;Initié(e);Réseaux sociaux|Santé, médicale;Oui, c’est ma seule adresse email;Une fois par jour;Plusieurs par jour;Très bonne;Environ tous les deux ou trois mois;Régulièrement;Assez important;Aussi souvent;Recevoir des actualités|Etre informé sur les produits/marques|Suivre  l'actualité d'un forum, d'un blog,…;8;Un peu trop longue;A la même fréquence;Je n’ai pas rencontré de problème particulier;Oui, sans doute;Femme;Province;En couple avec enfant(s);25-34;Employé,,,,,
2949;Confirmé(e);Site marchand (e-commerce)|Réseaux sociaux;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Environ 1 par jour;Assez bonne;Jamais;Rarement;Peu important;Moins souvent;Recevoir des actualités;5;Un peu trop longue;Un peu plus fréquemment;Le manque de temps;Oui, sans doute;Femme;Province;En couple sans enfant;18-24;Etudiant,,,,,,,,
2950;Initié(e);Site marchand (e-commerce)|Presse, Actualité|Réseaux sociaux;Non, c’est une adresse secondaire;Plusieurs fois par semaine;Plusieurs par jour;Assez bonne;Moins souvent;Systématiquement;Assez important;Aussi souvent;Etre informé sur les produits/marques;6;De la bonne longueur;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Oui, sûrement;Femme;Province;En couple sans enfant;25-34;Employé,,,,,,,
2951;Confirmé(e);Site marchand (e-commerce)|Jeux, Loisirs|Santé, médicale;Oui, c’est ma seule adresse email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Au moins une fois par mois;De temps en temps;Assez important;Aussi souvent;Bénéficier d'offres promotionnelles|Etre informé sur les produits/marques;6;Un peu trop longue;Un peu moins fréquemment;Je n’ai pas rencontré de problème particulier;Non, sans doute pas;Femme;Province;En couple avec enfant(s);35-44;Profession Intermédiaire, contremaître, agent de maîtrise,,,,
2955;Confirmé(e);Documents de référence (dictionnaire, archive…)|Site marchand (e-commerce)|Réseaux sociaux;Oui, mais j’ai d’autres adresses email;Plusieurs fois par jour;Plusieurs par jour;Assez bonne;Moins souvent;Rarement;Peu important;Moins souvent;Recevoir des actualités|Bénéficier d'offres promotionnelles|Recevoir des adresses près de chez moi, des idées de sorties;8;De la bonne longueur;A la même fréquence;Le manque de temps|L’email est classé automatiquement comme spam.;Oui, sans doute;Femme;Paris ou région parisienne;Seul(e) sans enfant;35-44;Employé,,,,,,
